site_id,sample_id,site_code,day,month,year,date,latitude,longitude,waterbody_name,waterbody_type,state,EQR,EQC
LTL391,LTL391_16.5.2016,LTL391_2016,16,5,2016,16/5/2016,54.19513938,23.67375949,,lake,,0.66,Good
LTL391,LTL391_10.5.2022,LTL391_2022,10,5,2022,10/5/2022,54.19513938,23.67375949,,lake,,0.43,Moderate
LTL392,LTL392_12.5.2015,LTL392_2015,12,5,2015,12/5/2015,54.15014121,23.89180446,,lake,,0.64,Good
LTL392,LTL392_10.5.2021,LTL392_2021,10,5,2021,10/5/2021,54.15014121,23.89180446,,lake,,0.59,Good
LTL393,LTL393_27.5.2013,LTL393_2013,27,5,2013,27/5/2013,54.11973105,23.70459302,,lake,,0.5448,Good
LTL393,LTL393_30.5.2018,LTL393_2018,30,5,2018,30/5/2018,54.11973105,23.70459302,,lake,,0.43,Moderate
LTL394,LTL394_23.5.2013,LTL394_2013,23,5,2013,23/5/2013,54.03395916,23.7378891,,lake,,0.61,Good
LTL394,LTL394_28.5.2018,LTL394_2018,28,5,2018,28/5/2018,54.03395916,23.7378891,,lake,,0.63,Good
LTL395,LTL395_21.5.2013,LTL395_2013,21,5,2013,21/5/2013,54.00536639,23.57390561,,lake,,0.6972,Good
LTL395,LTL395_10.5.2016,LTL395_2016,10,5,2016,10/5/2016,54.00536639,23.57390561,,lake,,0.56,Good
LTL395,LTL395_17.5.2022,LTL395_2022,17,5,2022,17/5/2022,54.00536639,23.57390561,,lake,,0.64,Good
LTL396,LTL396_28.5.2013,LTL396_2013,28,5,2013,28/5/2013,53.90902581,24.31485986,,lake,,0.6639,Good
LTL396,LTL396_27.5.2015,LTL396_2015,27,5,2015,27/5/2015,53.90902581,24.31485986,,lake,,0.46,Moderate
LTL396,LTL396_25.5.2021,LTL396_2021,25,5,2021,25/5/2021,53.90902581,24.31485986,,lake,,0.59,Good
LTL397,LTL397_28.5.2013,LTL397_2013,28,5,2013,28/5/2013,55.52478921,26.44678746,,lake,,0.4343,Moderate
LTL397,LTL397_7.5.2018,LTL397_2018,7,5,2018,7/5/2018,55.52478921,26.44678746,,lake,,0.38,Moderate
LTL398,LTL398_28.5.2013,LTL398_2013,28,5,2013,28/5/2013,55.5037312,26.48933065,,lake,,0.6615,Good
LTL398,LTL398_12.5.2021,LTL398_2021,12,5,2021,12/5/2021,55.5037312,26.48933065,,lake,,0.79,High
LTL399,LTL399_22.5.2017,LTL399_2017,22,5,2017,22/5/2017,55.48309031,26.48901123,,lake,,0.49,Moderate
LTL399,LTL399_18.5.2022,LTL399_2022,18,5,2022,18/5/2022,55.48309031,26.48901123,,lake,,0.65,Good
LTL400,LTL400_25.5.2016,LTL400_2016,25,5,2016,25/5/2016,55.99075158,22.49279335,,lake,,0.39,Moderate
LTL400,LTL400_26.4.2023,LTL400_2023,26,4,2023,26/4/2023,55.99075158,22.49279335,,lake,,0.53,Good
LTL401,LTL401_27.4.2015,LTL401_2015,27,4,2015,27/4/2015,55.90646167,21.79755857,,lake,,0.83,High
LTL401,LTL401_10.5.2021,LTL401_2021,10,5,2021,10/5/2021,55.90646167,21.79755857,,lake,,0.6,Good
LTL403,LTL403_3.5.2016,LTL403_2016,3,5,2016,3/5/2016,56.0700834,24.06126693,,lake,,0.22,Poor
LTL404,LTL404_3.5.2016,LTL404_2016,3,5,2016,3/5/2016,56.30023031,23.98464776,,lake,,0.44,Moderate
LTL405,LTL405_19.5.2016,LTL405_2016,19,5,2016,19/5/2016,55.69966883,24.11247334,,lake,,0.72,Good
LTL405,LTL405_28.4.2022,LTL405_2022,28,4,2022,28/4/2022,55.69966883,24.11247334,,lake,,0.65,Good
LTL405,LTL405_17.5.2023,LTL405_2023,17,5,2023,17/5/2023,55.69966883,24.11247334,,lake,,0.89,High
LTL406,LTL406_2.5.2013,LTL406_2013,2,5,2013,2/5/2013,55.73305538,24.38804697,,lake,,,
LTL406,LTL406_16.5.2023,LTL406_2023,16,5,2023,16/5/2023,55.73305538,24.38804697,,lake,,0.38,Moderate
LTL407,LTL407_2.5.2013,LTL407_2013,2,5,2013,2/5/2013,55.60737505,24.21137983,,lake,,,
LTL407,LTL407_17.5.2023,LTL407_2023,17,5,2023,17/5/2023,55.60737505,24.21137983,,lake,,0.65,Good
LTL408,LTL408_22.4.2020,LTL408_2020,22,4,2020,22/4/2020,55.49265905,23.65107921,,lake,,0.51,Good
LTL409,LTL409_20.5.2013,LTL409_2013,20,5,2013,20/5/2013,55.46138131,23.80138909,,lake,,,
LTL409,LTL409_15.5.2018,LTL409_2018,15,5,2018,15/5/2018,55.46138131,23.80138909,,lake,,0.48,Moderate
LTL410,LTL410_20.5.2013,LTL410_2013,20,5,2013,20/5/2013,55.28825207,23.72865985,,lake,,,
LTL410,LTL410_15.5.2018,LTL410_2018,15,5,2018,15/5/2018,55.28825207,23.72865985,,lake,,0.68,Good
LTL411,LTL411_15.5.2013,LTL411_2013,15,5,2013,15/5/2013,55.18233253,23.90653886,,lake,,,
